"Lake_ID","Year","SpeciesName","Fate","Weight","Report"
2,2019,"perch","Released",208.333333333333,"Joint"
2,2019,"perch","Released",208.333333333333,"Joint"
2,2019,"perch","Released",208.333333333333,"Joint"
2,2019,"perch","Released",208.333333333333,"Joint"
2,2019,"northern pike","Harvested",1000,"Joint"
2,2019,"northern pike","Harvested",1000,"Joint"
2,2019,"northern pike","Harvested",1000,"Joint"
2,2019,"northern pike","Harvested",1000,"Joint"
2,2019,"northern pike","Released",1000,"Joint"
2,2019,"northern pike","Released",1000,"Joint"
2,2019,"northern pike","Released",1000,"Joint"
2,2019,"northern pike","Released",1000,"Joint"
2,2019,"northern pike","Released",1000,"Joint"
2,2019,"northern pike","Released",1000,"Joint"
2,2019,"northern pike","Released",625,"Joint"
2,2019,"northern pike","Released",625,"Joint"
2,2019,"northern pike","Released",625,"Joint"
2,2019,"northern pike","Released",625,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"pikeperch","Harvested",2250,"Individual"
2,2018,"perch","Released",166.666666666667,"Joint"
2,2018,"perch","Released",166.666666666667,"Joint"
2,2018,"perch","Released",166.666666666667,"Joint"
2,2018,"northern pike","Released",1500,"Individual"
2,2018,"pikeperch","Harvested",1500,"Individual"
2,2018,"northern pike","Harvested",1500,"Individual"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"perch","Released",346.153846153846,"Joint"
2,2018,"pikeperch","Released",1500,"Individual"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"pikeperch","Released",1500,"Joint"
2,2018,"northern pike","Released",3500,"Individual"
2,2018,"northern pike","Released",10000,"Individual"
2,2018,"northern pike","Released",10000,"Individual"
2,2018,"roach","Released",37.5,"Joint"
2,2018,"roach","Released",37.5,"Joint"
2,2018,"perch","Released",200,"Joint"
2,2018,"perch","Released",200,"Joint"
2,2018,"perch","Released",200,"Joint"
2,2018,"perch","Released",200,"Joint"
2,2018,"perch","Released",200,"Joint"
2,2018,"northern pike","Harvested",1500,"Joint"
2,2018,"northern pike","Harvested",1500,"Joint"
